Department Name,Abbreviation,Subject Area Name,Abbreviation,Div,School
Aerospace Studies,AERO+ST,Aerospace Studies,AERO+ST,SS,LS
African American Studies,AF+AMER,African American Studies,AF+AMER,SS,LS
African Studies,AFRC+ST,African Studies,AFRC+ST,IS,LS
American Indian Studies,AM+IND,American Indian Studies,AM+IND,SS,LS
Anesthesiology and Perioperative Medicine,ANES+PM,Anesthesiology,ANES,MN,MN
Anthropology,ANTHRO,Anthropology,ANTHRO,SS,LS
Applied Linguistics,APPLING,African Languages (pre-15F),AF+LANG,HU,LS
Applied Linguistics,APPLING,Applied Linguistics,APPLING,HU,LS
Archaeology,ARCHEOL,Archaeology,ARCHEOL,SS,LS
Architecture and Urban Design,ARCH&UD,Architecture and Urban Design,ARCH&UD,AA,AA
Art,ART,Art,ART,AA,AA
Art History,ART+HIS,Art History,ART+HIS,HU,LS
Arts and Architecture,ART&ARC,Arts and Architecture,ART&ARC,AA,AA
Asian American Studies,ASIA+AM,Asian American Studies,ASIA+AM,SS,LS
Asian Languages and Cultures,ASIA+LC,Asian,ASIAN,HU,LS
Asian Languages and Cultures,ASIA+LC,Chinese,CHIN,HU,LS
Asian Languages and Cultures,ASIA+LC,Filipino,FILIPNO,HU,LS
Asian Languages and Cultures,ASIA+LC,Hindi-Urdu,HIN-URD,HU,LS
Asian Languages and Cultures,ASIA+LC,Indonesian,INDO,HU,LS
Asian Languages and Cultures,ASIA+LC,Japanese,JAPAN,HU,LS
Asian Languages and Cultures,ASIA+LC,Korean,KOREA,HU,LS
Asian Languages and Cultures,ASIA+LC,South Asian,S+ASIAN,HU,LS
Asian Languages and Cultures,ASIA+LC,Southeast Asian,SEASIAN,HU,LS
Asian Languages and Cultures,ASIA+LC,Thai,THAI,HU,LS
Asian Languages and Cultures,ASIA+LC,Vietnamese,VIETMSE,HU,LS
Atmospheric and Oceanic Sciences,A&O+SCI,Atmospheric and Oceanic Sciences,A&O+SCI,PS,LS
Bioengineering,BIOENGR,Bioengineering,BIOENGR,EN,EN
Bioinformatics,BIOINFO,Bioinformatics,BIOINFO,LF,LS
Biological Chemistry,BIOL+CH,Biological Chemistry,BIOL+CH,MN,MN
