full_prof_name,class_name
morgan-b-malone,aero-st-1a
morgan-b-malone,aero-st-20a
robert-everhart,aero-st-130a
mae-li-a-allison,aero-st-140a
caroline-streeter,af-amer-1
None,af-amer-m5
None,af-amer-m8a
richard-yarborough,af-amer-m104a
harryette-r-mullen,af-amer-m104e
tananarive-due,af-amer-112a
kyle-t-mays,af-amer-m121
brenda-e-stevenson,af-amer-m158b
None,am-ind-m10
kyle-t-mays,am-ind-m123
None,am-ind-m161
None,am-ind-m187a
keri-bradford-gomez,am-ind-202
angela-r-riley,am-ind-m265a
angela-r-riley,am-ind-265b
lauren-van-schilfgaarde,am-ind-m267
lauren-van-schilfgaarde,am-ind-280a
lauren-van-schilfgaarde,am-ind-280b
m-m-smith,anthro-2
jessica-cattelino,anthro-3
h-samy-alim,anthro-4
gregson-t-schachner,anthro-110
fernanda-neubauer,anthro-113p
m-li,anthro-116q
thomas-wake,anthro-c117
doreen-de-leon,anthro-119
julie-wood,anthro-124p
abigail-bigham,anthro-m126n
jennifer-rashidi,anthro-126p
perry-daniel,anthro-128p
seinenu-myint-thein,anthro-130
d-l-hart,anthro-134
douglas-w-hollan,anthro-136b
robert-lemelson,anthro-139
loyd-gattis,anthro-141
han-yan,anthro-149
None,anthro-151
None,anthro-152r
z-pearlstone,anthro-154q
andrew-levine,anthro-163q
thomas-wake,archeol-m205a
amr-shahat,archeol-m205a
vikram-tamboli,art-31a
l-lopez-gaspar-de-al,art-m185
arthur-m-cohen,art-his-21
eun-h-lee,art-his-29
m-papadopoulos,art-his-m114c
sharon-gerstel,art-his-c116a
None,art-his-121c
gregory-todd-harwell,art-his-124
natasha-medvedev,art-his-127b
None,art-his-c128b
tiffany-e-barber,art-his-c136a
beth-rosenblum,art-his-c142b
kristopher-kersey,art-his-251b
caitlin-fong,asia-am-10
lily-anne-yumi-tamai,asia-am-20
victor-bascara,asia-am-40w
cindy-sangalang,asia-am-m161
s-s-kim,asia-am-171c
chase-linsley,bioengr-10
daniel-t.-kamei,bioengr-100
robert-g-wong,bioengr-c104
timothy-j-deming,bioengr-c105
jacob-j-schmidt,bioengr-120
sophia-sangiorgio,bioengr-c135
park-williams,bioengr-cm145
pei-yu-chiou,bioengr-m153
j-chen,bioengr-c166
mireille-kamariza,bioengr-177a
chase-linsley,bioengr-cm178
None,bioengr-m184
wilson-chen,bioengr-188
wilson-chen,bioengr-188
robert-g-wong,bioengr-c204
timothy-j-deming,bioengr-c205
abeer-a.h.-alwan,bioengr-m214a
nasim-annabi,bioengr-m215
sophia-sangiorgio,bioengr-c235
park-williams,bioengr-cm245
j-chen,bioengr-c266
jeffrey-gornbein,biomath-170a
mary-elizabeth-sehl,biomath-200
hung-chou,biomath-201
roger-savage,biomath-202
linda-tseng,biomath-m260a
neil-wenger,biomath-m261
None,biomath-m281
None,biomath-m282
None,bmd-res-1a
amy-fluitt,bmd-res-5ha
kirsten-turlo,bmd-res-5hb
ronald-brookmeyer,biostat-120
alexandra-marie-varnum-klomhaus,biostat-200a
m.l.-wissner,biostat-201a
kim-g,biostat-203a
thomas-r-belin,biostat-211a
iris-m-ramirez,biostat-213
li-li,biostat-m215
None,biostat-216
michele-weiss,biostat-m236
None,biostat-m403b
laurence-lavelle,chem-14a
laurence-lavelle,chem-14a
franklin-ow,chem-14a
eric-r.-scerri,chem-14b
johnny-pang,chem-14bl
johnny-pang,chem-14bl
m-y-iu,chem-14c
m-y-iu,chem-14c
maher-m-henary,chem-14cl
v-h-pham,chem-14d
v-h-pham,chem-14d
randa-reslan,chem-17
abby-kavner,chem-20a
abby-kavner,chem-20a
prineha-narang,honors-lec-1
huiling-shao,chem-30a
None,chem-30al
franklin-ow,chem-30b
nicholas-deifel,chem-30bl
nicholas-deifel,chem-30cl
huiling-shao,chem-110a
thomas-g-mason,chem-110b
daniel-neuhauser,chem-113a
prineha-narang,chem-c115a
benjamin-j-schwartz,chem-c123a
eric-r.-scerri,chem-m124
None,chem-c125
floridalma-eliza-boj-lopez,ccas-20
j.ed-araiza,ccas-m103d
r.-torres,ccas-m105c
benjamin-a-harris,ccas-105f
martha-ramirez-oropeza,ccas-113
None,ccas-m125
lauren-f-guerra,ccas-m126
virginia-espino,ccas-m127
None,ccas-131
richard-andalon,ccas-149
alma-cortes,ccas-153d
izul-m-de-la-vega,ccas-m155b
l-lopez-gaspar-de-al,ccas-m185
alissa-joan-ellis,ccas-187c
ella-haselswerdt,classic-10
m-papadopoulos,classic-51a
k-nguyen-lam,classic-144
None,classic-144
lawrence-g-selna,classic-m146a
m-papadopoulos,classic-m153k
brian-hurwitz,comm-1
brian-hurwitz,comm-1
robert-mark-carpenter,comm-1
nushin-arbabzadah,comm-1
