class_name,class_dates,class_times,class_professor,year,semester,prof_rating,bruin_walk_url
Aerospace Studies (AERO ST) 1A - Heritage and Values Lec 1,F,12pm-12:50pm,"Malone, M.B.",2024,fall,N/A,https://bruinwalk.com/professors/morgan-b-malone/aero-st-1a/
Aerospace Studies (AERO ST) 20A - Team and Leadership Fundamentals Lec 1,F,1pm-1:50pm,"Malone, M.B.",2024,fall,N/A,https://bruinwalk.com/professors/morgan-b-malone
Aerospace Studies (AERO ST) 130A - Air Force Leadership Studies Lec 1,F,12pm-2:50pm,"Everhart, R.",2024,fall,N/A,https://bruinwalk.com/professors/robert-everhart/aero-st-130a/
Aerospace Studies (AERO ST) 140A - National Security Affairs/Preparation for Active Duty Lec 1,F,12pm-2:50pm,"Allison, M.A.",2024,fall,N/A,https://bruinwalk.com/professors/mae-li-a-allison/aero-st-140a/
African American Studies (AF AMER) 1 - Introduction to Black Studies Lec 1,MW,1pm-2:50pm,"Streeter, C.A.",2024,fall,N/A,https://bruinwalk.com/professors/caroline-streeter
African American Studies (AF AMER) M5 - Social Organization of Black Communities Lec 1,MW,5pm-6:15pm,No instructors,2024,fall,N/A,N/A
African American Studies (AF AMER) M8A - Elementary Tigrinya Lec 1,TR,5pm-6:50pm,No instructors,2024,fall,N/A,N/A
African American Studies (AF AMER) M104A - Early African American Literature Lec 1,TR,11am-12:15pm,"Yarborough, R.A.",2024,fall,N/A,https://bruinwalk.com/professors/richard-yarborough/af-amer-m104a/
African American Studies (AF AMER) M104E - Topics in African American Literature and Culture Lec 1,TR,10am-11:50am,"Mullen, H.R.",2024,fall,N/A,https://bruinwalk.com/professors/harryette-r-mullen/af-amer-m104e/
"African American Studies (AF AMER) 112A - Sunken Place: Racism, Survival, and Black Horror Aesthetic Lec 1",TR,12:30pm-1:45pm,"Due, T.P.",2024,fall,N/A,https://bruinwalk.com/professors/tananarive-due/af-amer-112a/
African American Studies (AF AMER) M121 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,"Mays, K.T.",2024,fall,5.0,https://bruinwalk.com/professors/kyle-t-mays/af-amer-m121/
African American Studies (AF AMER) M158B - Introduction to Afro-American History Lec 1,TR,9:30am-10:45am,"Stevenson, B.",2024,fall,5.0,https://bruinwalk.com/professors/brenda-e-stevenson/af-amer-m158b/
American Indian Studies (AM IND) M10 - Introduction to American Indian Studies Lec 1,TR,8am-9:15am,The Staff,2024,fall,N/A,N/A
American Indian Studies (AM IND) M123 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,"Mays, K.T.",2024,fall,N/A,https://bruinwalk.com/professors/kyle-t-mays/am-ind-m123/
American Indian Studies (AM IND) M161 - Comparative American Indian Societies Lec 1,M,1pm-3:50pm,The Staff,2024,fall,N/A,N/A
American Indian Studies (AM IND) M187A - Special Topics in American Indian and Gender Studies Lec 1,TR,11am-12:15pm,"Dorsey, K.B.",2024,fall,N/A,N/A
American Indian Studies (AM IND) 202 - Key Theories and Concepts in American Indian Studies Lec 1,M,1pm-3:50pm,"Bradford-Gomez, K.",2024,fall,N/A,https://bruinwalk.com/professors/keri-bradford-gomez
American Indian Studies (AM IND) M265A - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,"Riley, A.R.",2024,fall,N/A,https://bruinwalk.com/professors/angela-r-riley/am-ind-m265a/
American Indian Studies (AM IND) 265B - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,"Riley, A.R.",2024,fall,N/A,https://bruinwalk.com/professors/angela-r-riley/am-ind-265b/
American Indian Studies (AM IND) M267 - Federal Indian Law II Lec 1,MTR,1:45pm-3:10pm,"Van Schilfgaarde,",2024,fall,N/A,https://bruinwalk.com/professors/lauren-van-schilfgaarde/am-ind-m267/
American Indian Studies (AM IND) 280A - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,"Van Schilfgaarde,",2024,fall,N/A,https://bruinwalk.com/professors/lauren-van-schilfgaarde/am-ind-280a/
American Indian Studies (AM IND) 280B - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,"Van Schilfgaarde,",2024,fall,N/A,https://bruinwalk.com/professors/lauren-van-schilfgaarde/am-ind-280b/
Anthropology (ANTHRO) 2 - Archaeology: Introduction Lec 1,MWF,10am-10:50am,"Smith, M.L.",2024,fall,N/A,https://bruinwalk.com/professors/m-m-smith
Anthropology (ANTHRO) 3 - Culture and Society Lec 1,TR,9:30am-10:45am,"Cattelino, J.R.",2024,fall,3.9,https://bruinwalk.com/professors/jessica-cattelino/anthro-3/
Anthropology (ANTHRO) 4 - Culture and Communication Lec 1,TR,3:30pm-4:45pm,"Alim, H.",2024,fall,4.4,https://bruinwalk.com/professors/h-samy-alim/anthro-4/
