class_name,class_dates,class_times,class_professor,year,semester
Aerospace Studies (AERO ST) 1A - Heritage and Values Lec 1,F,12pm-12:50pm,"Malone, M.B.",2024,fall
Aerospace Studies (AERO ST) 20A - Team and Leadership Fundamentals Lec 1,F,1pm-1:50pm,"Malone, M.B.",2024,fall
Aerospace Studies (AERO ST) 130A - Air Force Leadership Studies Lec 1,F,12pm-2:50pm,"Everhart, R.",2024,fall
Aerospace Studies (AERO ST) 140A - National Security Affairs/Preparation for Active Duty Lec 1,F,12pm-2:50pm,"Allison, M.A.",2024,fall
African American Studies (AF AMER) 1 - Introduction to Black Studies Lec 1,MW,1pm-2:50pm,"Streeter, C.A.",2024,fall
African American Studies (AF AMER) M5 - Social Organization of Black Communities Lec 1,MW,5pm-6:15pm,No instructors,2024,fall
African American Studies (AF AMER) M8A - Elementary Tigrinya Lec 1,TR,5pm-6:50pm,No instructors,2024,fall
African American Studies (AF AMER) M104A - Early African American Literature Lec 1,TR,11am-12:15pm,"Yarborough, R.A.",2024,fall
African American Studies (AF AMER) M104E - Topics in African American Literature and Culture Lec 1,TR,10am-11:50am,"Mullen, H.R.",2024,fall
"African American Studies (AF AMER) 112A - Sunken Place: Racism, Survival, and Black Horror Aesthetic Lec 1",TR,12:30pm-1:45pm,"Due, T.P.",2024,fall
African American Studies (AF AMER) CM113B - Legislative Theater for Race and Gender Justice Lec 1,M,F,8am-10:50am,2024,fall
African American Studies (AF AMER) M121 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,"Mays, K.T.",2024,fall
African American Studies (AF AMER) M158B - Introduction to Afro-American History Lec 1,TR,9:30am-10:45am,"Stevenson, B.",2024,fall
African American Studies (AF AMER) 188A - Special Courses in African American Studies Lec 4,10am-1pm,"Bain, B.R.",Select African American Studies (AF AMER) 188A - Special Courses in African American Studies Lec 4,2024,fall
American Indian Studies (AM IND) M10 - Introduction to American Indian Studies Lec 1,TR,8am-9:15am,The Staff,2024,fall
American Indian Studies (AM IND) M123 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,"Mays, K.T.",2024,fall
American Indian Studies (AM IND) M161 - Comparative American Indian Societies Lec 1,M,1pm-3:50pm,The Staff,2024,fall
American Indian Studies (AM IND) M187A - Special Topics in American Indian and Gender Studies Lec 1,TR,11am-12:15pm,"Dorsey, K.B.",2024,fall
American Indian Studies (AM IND) 202 - Key Theories and Concepts in American Indian Studies Lec 1,M,1pm-3:50pm,"Bradford-Gomez, K.",2024,fall
American Indian Studies (AM IND) 261 - Comparative Indigenous Societies Lec 1,"Small-Rodriguez, D",Select American Indian Studies (AM IND) 261 - Comparative Indigenous Societies Lec 1,"Small-Rodriguez, D",2024,fall
