class_name,class_dates,class_times,year,semester
Aerospace Studies (AERO ST) 1A - Heritage and Values Lec 1,F,12pm-12:50pm,2024,fall
Aerospace Studies (AERO ST) 20A - Team and Leadership Fundamentals Lec 1,F,1pm-1:50pm,2024,fall
Aerospace Studies (AERO ST) 130A - Air Force Leadership Studies Lec 1,F,12pm-2:50pm,2024,fall
Aerospace Studies (AERO ST) 140A - National Security Affairs/Preparation for Active Duty Lec 1,F,12pm-2:50pm,2024,fall
African American Studies (AF AMER) 1 - Introduction to Black Studies Lec 1,MW,1pm-2:50pm,2024,fall
African American Studies (AF AMER) M5 - Social Organization of Black Communities Lec 1,MW,5pm-6:15pm,2024,fall
African American Studies (AF AMER) M8A - Elementary Tigrinya Lec 1,TR,5pm-6:50pm,2024,fall
African American Studies (AF AMER) M104A - Early African American Literature Lec 1,TR,11am-12:15pm,2024,fall
African American Studies (AF AMER) M104E - Topics in African American Literature and Culture Lec 1,TR,10am-11:50am,2024,fall
"African American Studies (AF AMER) 112A - Sunken Place: Racism, Survival, and Black Horror Aesthetic Lec 1",TR,12:30pm-1:45pm,2024,fall
African American Studies (AF AMER) CM113B - Legislative Theater for Race and Gender Justice Lec 1,M,F,2024,fall
African American Studies (AF AMER) M121 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,2024,fall
African American Studies (AF AMER) M158B - Introduction to Afro-American History Lec 1,TR,9:30am-10:45am,2024,fall
African American Studies (AF AMER) 188A - Special Courses in African American Studies Lec 4,W,1pm-3:50pm,2024,fall
American Indian Studies (AM IND) M10 - Introduction to American Indian Studies Lec 1,TR,8am-9:15am,2024,fall
American Indian Studies (AM IND) M123 - Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty Lec 1,MW,11am-12:15pm,2024,fall
American Indian Studies (AM IND) M161 - Comparative American Indian Societies Lec 1,M,1pm-3:50pm,2024,fall
American Indian Studies (AM IND) M187A - Special Topics in American Indian and Gender Studies Lec 1,TR,11am-12:15pm,2024,fall
American Indian Studies (AM IND) 202 - Key Theories and Concepts in American Indian Studies Lec 1,M,1pm-3:50pm,2024,fall
American Indian Studies (AM IND) 261 - Comparative Indigenous Societies Lec 1,Select American Indian Studies (AM IND) 261 - Comparative Indigenous Societies Lec 1,Select American Indian Studies (AM IND) 261 - Comparative Indigenous Societies Lec 1,2024,fall
American Indian Studies (AM IND) M265A - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,2024,fall
American Indian Studies (AM IND) 265B - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,2024,fall
American Indian Studies (AM IND) M267 - Federal Indian Law II Lec 1,MTR,1:45pm-3:10pm,2024,fall
American Indian Studies (AM IND) 280A - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,2024,fall
American Indian Studies (AM IND) 280B - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,2024,fall
Anthropology (ANTHRO) 2 - Archaeology: Introduction Lec 1,MWF,10am-10:50am,2024,fall
Anthropology (ANTHRO) 3 - Culture and Society Lec 1,TR,9:30am-10:45am,2024,fall
Anthropology (ANTHRO) 110 - Principles of Archaeology Lec 1,TR,9:30am-10:45am,2024,fall
Anthropology (ANTHRO) 113P - Archaeology of North America Lec 1,MW,2pm-3:15pm,2024,fall
C117 - Selected Laboratory Topics in Archaeology: Lecture 1,Select Anthropology (ANTHRO) C117 - Selected Laboratory Topics in Archaeology Lec 1,W,2024,fall
Anthropology (ANTHRO) C117 - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,2024,fall
Anthropology (ANTHRO) 119 - Selected Topics in Archaeology: Archaeology of Apocalypse Lec 1,MW,9:30am-10:45am,2024,fall
Anthropology (ANTHRO) 124P - Human Behavioral Ecology Lec 1,TR,2pm-3:15pm,2024,fall
