Department Name,Abbreviation,Subject Area Name,Abbreviation.1,Div,School,are_classes
Aerospace Studies,AERO+ST,Aerospace Studies,AERO+ST,SS,LS,1
African American Studies,AF+AMER,African American Studies,AF+AMER,SS,LS,1
African Studies,AFRC+ST,African Studies,AFRC+ST,IS,LS,1
American Indian Studies,AM+IND,American Indian Studies,AM+IND,SS,LS,1
Anthropology,ANTHRO,Anthropology,ANTHRO,SS,LS,1
Applied Linguistics,APPLING,African Languages (pre-15F),AF+LANG,HU,LS,1
Applied Linguistics,APPLING,Applied Linguistics,APPLING,HU,LS,1
Archaeology,ARCHEOL,Archaeology,ARCHEOL,SS,LS,1
Art,ART,Art,ART,AA,AA,1
Art History,ART+HIS,Art History,ART+HIS,HU,LS,1
Arts and Architecture,ART&ARC,Arts and Architecture,ART&ARC,AA,AA,1
Asian American Studies,ASIA+AM,Asian American Studies,ASIA+AM,SS,LS,1
Bioengineering,BIOENGR,Bioengineering,BIOENGR,EN,EN,1
Bioinformatics,BIOINFO,Bioinformatics,BIOINFO,LF,LS,1
Biological Chemistry,BIOL+CH,Biological Chemistry,BIOL+CH,MN,MN,1
Biomathematics (pre-19F),BIOMATH,Biomathematics,BIOMATH,MN,MN,1
Biomedical Research,BMD+RES,Biomedical Research,BMD+RES,LF,LS,1
Biostatistics,BIOSTAT,Biostatistics,BIOSTAT,PH,PH,1
Chemistry and Biochemistry,CHEM,Applied Chemical Sciences,APP+CHEM,PS,LS,1
Chemistry and Biochemistry,CHEM,Chemistry and Biochemistry,CHEM,PS,LS,1
Chicana/o and Central American Studies,CCAS,Chicana/o and Central American Studies,CCAS,SS,LS,1
Classics,CLASSIC,Classics,CLASSIC,HU,LS,1
Classics,CLASSIC,Greek,GREEK,HU,LS,1
Classics,CLASSIC,Latin,LATIN,HU,LS,1
Communication,COMM,Communication,COMM,SS,LS,1
Community Engagement and Social Change,CESC,Community Engagement and Social Change,CESC,GS,LS,1
Community Health Sciences,COM+HLT,Community Health Sciences,COM+HLT,PH,PH,1
Comparative Literature,COM+LIT,Comparative Literature,COM+LIT,HU,LS,1
Computer Science,COM+SCI,Bioinformatics (undergraduate),BIOINFR,EN,EN,1
Computer Science,COM+SCI,Computer Science,COM+SCI,EN,EN,1
Conservation of Cultural Heritage,CLT+HTG,Conservation of Cultural Heritage,CLT+HTG,SS,LS,1
Design | Media Arts,DESMA,Design | Media Arts,DESMA,AA,AA,1
Digital Humanities,DGT+HUM,Digital Humanities,DGT+HUM,HU,LS,1
Disability Studies,DIS+STD,Disability Studies,DIS+STD,GS,LS,1
"Earth, Planetary, and Space Sciences",EPS+SCI,"Earth, Planetary, and Space Sciences",EPS+SCI,PS,LS,1
Ecology and Evolutionary Biology,EE+BIOL,Ecology and Evolutionary Biology,EE+BIOL,LF,LS,1
Economics,ECON,Economics,ECON,SS,LS,1
Education,EDUC,Education,EDUC,EI,EI,1
Electrical and Computer Engineering,EC+ENGR,Electrical and Computer Engineering,EC+ENGR,EN,EN,1
Engineering and Applied Science,ENGR,Engineering,ENGR,EN,EN,1
English,ENGL,English,ENGL,HU,LS,1
